DIRECCION_BASE	count
KR 80-CL 2	246
CL 13-KR 72	240
AV AVENIDA BOYACA-CL 13	230
AV AVENIDA BOYACA-CL 80	220
CL 80-KR 72	218
AV AVENIDA CIUDAD DE CALI-CL 26	215
CL 100-KR 15	214
AV AVENIDA DE LAS AMERICAS-KR 68	206
AV AVENIDA BOYACA-CL 26	206
AV AVENIDA DEL SUR-CL 59 S	201
KR 50-CL 3	190
AV AVENIDA BOYACA-CL 12	186
KR 30-CL 6	175
AV AVENIDA DE LAS AMERICAS-KR 50	173
AV AVENIDA BOYACA-CL 60 S	173
CL 63-KR 60	172
AV AVENIDA BOYACA-CL 9	164
CL 26-KR 72	158
AV AVENIDA CIUDAD DE CALI-CL 13	157
AV AVENIDA BOYACA-KR 24	154
KR 68-CL 63	150
CL 80-KR 114	148
KR 60-CL 63	146
CL 26-KR 86	145
AV AVENIDA DEL SUR-KR 63	145
KR 30-CL 26	144
AV AVENIDA DE LAS AMERICAS-KR 72	141
KR 4-CL 91	140
AV AVENIDA BOYACA-CL 53	140
KR 30-CL 19	138
CL 22C-KR 68F	136
CL 63-KR 50	134
AV AVENIDA BOYACA-CL 19	133
AV AVENIDA DEL SUR-KR 72	131
AV AVENIDA DE LAS AMERICAS-AV AVENIDA BOYACA	129
CL 13-KR 68D	129
AV AVENIDA BOYACA-CL 8	128
AC 26-KR 113	124
CL 13-KR 86	123
AV AVENIDA BOYACA-CL 22	122
CL 26-KR 113	120
KR 30-CL 3	119
KR 10-CL 6	119
AV AVENIDA DEL SUR-AV AVENIDA CIUDAD DE VILLAVICENCIO	118
CL 80-KR 119	118
AV AVENIDA CARACAS-CL 51 S	118
AV AVENIDA BOYACA-CL 127	118
AV AVENIDA BOYACA-CL 71 S	114
AK 45-CL 127	114
AV AVENIDA DEL SUR-KR 71	113
AV AVENIDA BOYACA-CL 134	113
CL 13-KR 69F	113
KR 68-CL 13	112
AK 45-CL 170	112
CL 100-KR 45	111
CL 100-KR 11	111
AV AVENIDA DEL SUR-CL 63 S	108
AV AVENIDA CIUDAD DE CALI-CL 6	108
KR 30-CL 8 S	108
KR 30-CL 63	107
AV AVENIDA BOYACA-CL 24	102
AV AVENIDA CIUDAD DE CALI-CL 22	102
CL 13-KR 65	101
AK 45-CL 187	100
AV AVENIDA PRIMERO DE MAYO-KR 50	99
AV AVENIDA DEL SUR-KR 67	98
KR 80-CL 2 S	98
AV AVENIDA BOYACA-CL 63	97
KR 68-CL 17	96
AV AVENIDA BOYACA-CL 116	96
KR 7-CL 116	96
KR 50-CL 26	96
KR 30-CL 13	95
CL 100-KR 19	95
KR 15-CL 100	94
AK 45-CL 222	93
KR 45-CL 170	93
CL 80-KR 102	92
KR 68-CL 26	92
AC 26-KR 72	92
AV AVENIDA BOYACA-CL 6	91
AV AVENIDA BOYACA-CL 138	90
KR 68-CL 80	90
KR 30-CL 45	89
KR 30-CL 12	87
CL 80-KR 68	87
AK 45-CL 116	86
AV AVENIDA SUBA-CL 127	86
CL 26-KR 69	86
CL 63-KR 68	86
CL 80-KR 94	85
KR 80-CL 59 S	85
AV AVENIDA BOYACA-CL 170	85
CL 80-KR 98	85
KR 45-CL 106	84
AV AVENIDA CARACAS-CL 60	84
CL 80-KR 120	84
AV AVENIDA CIRCUNVALAR-CL 17	84
AV AVENIDA BOYACA-CL 23	84
CL 26-KR 68	84
KR 50-CL 22	82
CL 13-KR 50	82
AK 45-CL 100	82
AV AVENIDA CIUDAD DE CALI-CL 23	82
KR 30-CL 68	82
AV AVENIDA DE LAS AMERICAS-KR 65	81
AV AVENIDA CIUDAD DE CALI-CL 24	80
KR 30-CL 22	80
CL 13-KR 90	80
AK 68-CL 13	80
AV AVENIDA CARACAS-CL 22	80
KR 50-CL 26 S	79
CL 13-KR 68	79
AV AVENIDA CARACAS-CL 6	78
CL 174-KR 114	78
KR 30-CL 53	78
AV AVENIDA BOYACA-CL 3	78
AV AVENIDA CIUDAD DE CALI-CL 12	77
CL 127-KR 15	76
KR 68-CL 24	76
AV AVENIDA PRIMERA DE MAYO-KR 50	76
KR 30-CL 80	76
AV AVENIDA CIUDAD DE CALI-CL 72	76
CL 17-KR 120	76
CL 26-KR 66	76
CL 26-KR 106	75
AC 26-KR 86	75
AV AVENIDA BOYACA-CL 167	75
AK 45-CL 183	74
KR 68-CL 3	74
CL 13-KR 69	74
CL 170-KR 45	74
KR 30-CL 2	73
AV AVENIDA BOYACA-CL 153	73
AV AVENIDA BOYACA-AV AVENIDA DE LAS AMERICAS	73
AV AVENIDA BOYACA-CL 44 S	72
KR 7-CL 106	72
CL 26-KR 75	72
AV AVENIDA DE LAS AMERICAS-KR 53	72
CL 170-KR 72	71
KR 10-CL 27 S	71
AV AVENIDA CIUDAD DE CALI-CL 10	71
KR 45-CL 127	71
AV AVENIDA DEL SUR-KR 70C	71
AK 45-CL 106	70
KR 68-CL 53	70
AV AVENIDA SUBA-CL 100	70
CL 80-KR 107	70
AK 68-CL 17	70
AV AVENIDA BOYACA-KR 25	70
AV AVENIDA BOYACA-CL 12B	69
CL 127-KR 45	69
KR 86-CL 6	69
CL 6-KR 30	69
AK 45-CL 134	69
AV AVENIDA DE LAS AMERICAS-KR 36	68
CL 3-KR 50	68
AV AVENIDA CIUDAD DE VILLAVICENCIO-AV AVENIDA DEL SUR	68
AV AVENIDA CARACAS-CL 63	68
AV AVENIDA BOYACA-CL 51	68
AV AVENIDA BOYACA-CL 7	67
AV AVENIDA BOYACA-CL 17	67
AK 45-CL 94	67
AK 68-CL 3	67
AV AVENIDA BOYACA-CL 37 S	66
AK 68-CL 63	66
TR 53-CL 2	66
CL 26-KR 33	66
CL 80-KR 96	66
AV AVENIDA DEL SUR-KR 73	65
AK 45-CL 235	65
AC 13-KR 72	65
AV AVENIDA CARACAS-CL 19	65
CL 80-KR 104	64
CL 17-KR 128	64
CL 171-KR 111	64
AV AVENIDA DE LAS AMERICAS-KR 47	64
AV AVENIDA BOYACA-CL 39 S	64
KR 7-CL 92	64
KR 45-CL 187	63
CL 134-KR 45	63
KR 7-CL 32	63
CL 134-KR 58	63
AV AVENIDA BOYACA-CL 64 S	63
KR 45-CL 116	63
AV AVENIDA BOYACA-CL 127B	63
AV AVENIDA SUBA-CL 116	62
AK 45-CL 192	62
AV AVENIDA BOYACA-CL 128	62
AK 30-CL 26	62
AV AVENIDA BOYACA-CL 40 S	62
AV AVENIDA DE LAS AMERICAS-KR 43	62
CL 17-KR 90	62
CL 153-KR 45	62
CL 100-KR 64	62
AC 26-KR 106	62
AV AVENIDA CIUDAD DE CALI-CL 63	62
AK 45-CL 95	62
CL 63-KR 30	61
CL 26-KR 70	61
KR 7-CL 134	61
AK 45-CL 153	61
AV AVENIDA DE LAS AMERICAS-KR 44	60
KR 80-CL 55 S	60
AV AVENIDA BOYACA-CL 21	60
AV AVENIDA CIUDAD DE CALI-CL 13A	60
AV AVENIDA CIUDAD DE CALI-CL 6D	59
KR 45-CL 100	59
AV AVENIDA CIUDAD DE CALI-CL 25	59
KR 10-CL 11 S	59
AV AVENIDA DE LAS AMERICAS-KR 53A	59
AV AVENIDA BOYACA-KR 33	59
AV AVENIDA DE LAS AMERICAS-KR 78	59
AV AVENIDA DE LAS AMERICAS-KR 60	59
KR 30-CL 71	59
KR 30-CL 8	59
CL 127-KR 21	59
AV AVENIDA BOYACA-CL 5A	59
CL 26-KR 60	59
KR 45-CL 153	59
CL 13-KR 69B	58
KR 68-CL 98	58
AK 45-CL 103	58
AV AVENIDA DE LAS AMERICAS-KR 30	58
KR 30-CL 30 S	58
CL 26-KR 40	58
AV AVENIDA BOYACA-CL 72	58
AK 45-CL 182	57
KR 7-CL 94	57
KR 30-CL 66	57
AK 45-CL 195	57
CL 26-KR 103	57
KR 30-CL 64	57
CL 26-KR 50	57
KR 45-CL 134	57
AV AVENIDA CIUDAD DE CALI-CL 13C	57
CL 170-KR 21	57
AV AVENIDA BOYACA-CL 75	57
AV AVENIDA DE LAS AMERICAS-KR 62	57
CL 19-KR 4	56
AV AVENIDA CARACAS-CL 65 S	56
AK 45-CL 128	56
KR 30-CL 25	56
AV AVENIDA CIUDAD DE CALI-AV AVENIDA DE LAS AMERICAS	55
AV AVENIDA BOYACA-CL 59 S	55
CL 72-KR 86	55
CL 100-KR 11B	55
KR 50-CL 63	55
KR 50-CL 24	55
KR 7-CL 153	55
AK 68-CL 53	55
CL 63-KR 93	55
KR 30-CL 40A	55
CL 72-KR 70	55
KR 30-CL 63F	55
CL 100-KR 13	54
AV AVENIDA DEL SUR-CL 63	54
AV AVENIDA CIUDAD DE CALI-CL 51	54
