	Address	Latitude	Longitude
0	KR 80-CL 2	4.6236095	-74.13940245
1	CL 1-KR 148 S	4.6217629	-74.12644855
2	KR 45-CL 129B	4.724499	-74.0882049
3	CL 78-KR 87I S	4.7029791	-74.10260105
4	KR 2A-CL 22A	4.67843688	-74.1425184
5	AV AVENIDA PRIMERA DE MAYO-CL 36D	4.6246197	-74.06908595
6	TR 69F-CL 24C	4.62174135	-74.0782295
7	KR 78G-CL 86 S	4.66591165	-74.0452539
8	AV AVENIDA CIUDAD DE VILLAVICENCIO-DG 67A S	4.5806384	-74.1583782
9	AV AVENIDA PASEO DE LOS LIBERTADORES-CL 98	4.72790823	-74.0501856
10	CL 20-TR 39BIS	4.625871	-74.079642
11	CL 69B-KR 77J S	4.6879672	-74.1033439
12	AV AVENIDA PRIMERA DE MAYO-TR 72N	22.633119	-101.6997212
13	KR 3-CL 39 ES	4.6277323	-74.0771285
14	CL 115-KR 5H SE	4.6985422	-74.06875315
15	CL 52-KR 80H S	4.63985547	-74.06900072
16	KR 96H-CL 15	4.6025688	-74.07484745
17	CL 124-KR 21A	4.7040135	-74.0519406
18	KR 95-CL 66	4.65703835	-74.0704453
19	CL 42A-KR 80A S	4.62991303	-74.06579667
20	AV AVENIDA CIRCUNVALAR-KR 23B	4.6572541	-74.048491
21	KR 26A-CL 1B	4.5962638	-74.1012865
22	CL 3-KR 56A	4.5915606	-74.08147835
23	KR 3-CL 31C ES	4.61680545	-74.0662177
24	AC 45A-KR 54A S	4.7009445	-74.0643989
25	DG 24C-KR 96BBIS	4.58826885	-74.10287785
26	CL 132BIS-KR 152	4.7436769	-74.1229178
27	CL 61-KR 87BBIS S	4.58800248	-74.18128001
28	KR 30-CL 26P	4.60953415	-74.06636125
29	KR 68D-CL 94A	4.6881103	-74.0780129
30	KR 16B-CL 72 S	4.7134283	-74.1284704
31	CL 22G-KR 117A	4.69020715	-74.1512529
32	CL 75-KR 51	4.70467179	-74.11191822
33	CL 57B-KR 84D S	4.64908124	-74.08579248
34	AV AVENIDA CARACAS- CL 27	4.6245606	-74.06899975
35	KR 15-CL 116A S	4.69952685	-74.07482452
36	KR 28B-CL 39	4.62729665	-74.071889
37	KR 129-CL 31 S	4.5800193	-74.1113314
